,age,handle,revenue,betcount,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
64,19,40.0,4.0,15.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
65,19,6.0,0.72,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
66,19,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
67,19,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
68,19,206.0,20.6,5.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
69,19,5.0,0.6,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
70,19,5.0,0.6,2.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
71,19,200.0,20.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
72,19,2500.0,250.0,3.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
73,19,5.0,0.5,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
74,19,205.0,20.5,3.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
75,19,2.0,0.24,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
76,19,205.0,20.5,3.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
77,19,2.0,0.24,1.0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
78,19,3.0,0.30000000000000004,1.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
79,19,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
80,19,2.0,0.24,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
81,19,3.0,0.30000000000000004,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
82,19,205.0,20.5,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
83,20,144.0,17.28,14.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
84,20,415.0,41.5,6.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
85,20,297.0,29.700000000000006,5.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
86,20,40.0,4.8,2.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
87,20,21.0,2.52,6.000000000000003,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
88,20,220.0,22.0,5.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
89,20,3.0,0.36,1.0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
90,20,140.0,14.0,12.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
91,20,10.0,1.2,4.0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
92,20,4.0,0.48,2.0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
93,20,205.0,20.5,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
94,20,100.0,10.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
95,20,46.0,5.52,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
96,20,363.0,36.3,53.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
97,20,121.0,14.52,4.0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
98,20,704.0,70.4,32.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
99,20,20.0,2.0,1.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
100,20,33.0,3.96,5.999999999999999,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
101,20,362.0,36.2,40.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
102,20,20.0,2.0,1.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
103,20,301.0,36.12,37.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
104,20,2116.0,211.6,201.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
105,20,3.0,0.36,1.0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
106,20,107.0,10.7,3.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
107,20,78.0,9.36,13.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
108,20,783.0,78.30000000000003,56.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
109,20,19.0,2.28,3.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
110,20,116.0,11.6,8.0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
111,20,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
112,20,8.0,0.96,3.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
113,20,5.0,0.6,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
114,20,2.0,0.24,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
115,20,3.0,0.30000000000000004,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
116,20,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
117,20,165.0,16.5,72.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
118,20,72.0,7.2,36.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
119,20,85.0,8.5,25.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
120,20,10.0,1.0,5.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
121,20,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
122,20,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
123,20,163.0,19.56,12.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
124,20,320.0,32.0,10.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
125,20,59.99999999999999,7.1999999999999975,8.999999999999998,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
126,20,145.99999999999997,17.519999999999996,45.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
127,20,103.0,10.3,33.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
128,20,17.0,2.04,6.999999999999999,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
129,20,3.0,0.30000000000000004,1.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1
130,20,2.0,0.24,1.0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
131,20,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
132,20,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
133,21,2.0,0.24,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
134,21,2.0,0.2,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
135,21,3.0,0.36,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
136,21,211.0,21.1,2.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
137,21,13.0,1.3,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
138,21,5.0,0.6,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
139,21,200.0,20.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
140,21,121.0,12.1,12.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
141,21,2.0,0.24,1.0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
142,21,62.0,6.2,9.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
143,21,6.0,0.72,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
144,21,3.0,0.36,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
145,21,8.999999999999998,1.0799999999999998,3.0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
146,21,19.0,2.28,6.999999999999997,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
147,21,8.0,0.96,2.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
148,21,105.0,10.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
149,21,100.0,10.0,2.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
150,21,8.0,0.96,3.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
